position, team, games_played, won, draw, lost, goals_scored, goals_conceded, goal_difference, points
1,Bayern München,34,24,6,4,99,44,55,78
2,RB Leipzig,34,19,8,7,60,32,28,65
3,Dortmund,34,20,4,10,75,46,29,64
4,Wolfsburg,34,17,10,7,61,37,24,61
5,Frankfurt,34,16,12,6,69,53,16,60
6,Leverkusen,34,14,10,10,53,39,14,52
7,Union Berlin,34,12,14,8,50,43,7,50
8,M'gladbach,34,13,10,11,64,56,8,49
9,VfB Stuttgart,34,12,9,13,56,55,1,45
10,Freiburg,34,12,9,13,52,52,0,45
11,Hoffenheim,34,11,10,13,52,54,-2,43
12,Mainz,34,10,9,15,39,56,-17,39
13,Augsburg,34,10,6,18,36,54,-18,36
14,Hertha BSC,34,8,11,15,41,52,-11,35
15,Arminia Bielefeld,34,9,8,17,26,52,-26,35
16,Köln,34,8,9,17,34,60,-26,33
17,Werder Bremen,34,7,10,17,36,57,-21,31
18,Schalke 04,34,3,7,24,25,86,-61,16
